Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
High heels.kz,магазин,Обувные магазины; Одежда / обувь для танцев; Женская одежда; Спортивная одежда / обувь; Сценические / карнавальные костюмы / Аксессуары,"проспект Сейфуллина, 617",2 этаж; в маркетплейс colab.qz,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,8,,,,,,http://highheelskz.com,,https://instagram.com/highheels.kz,,,,https://wa.me/77785019839,,,,https://t.me/highheelskz,,43.233752,76.936178,https://2gis.com/firm/70000001060759191
Red Park,аутлет для всей семьи,Обувные магазины; Женская одежда; Детская одежда; Мужская одежда; Посуда,"улица Навои, 310",цокольный этаж,050043,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,3.7,32,,,,,,http://redpark.kz,,https://instagram.com/redparkkz,,https://facebook.com/redparkkz,,https://wa.me/77003322707,,,,,https://youtube.com/channel/UCY6E2HPDjmqJIpU4zvkyVbQ,43.199375,76.887145,https://2gis.com/firm/70000001061158999
Boutique А,бутик женской одежды,Обувные магазины; Женская одежда,"4-й микрорайон, 10а",10 бутик; 1 этаж,050062,4-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,2.6,4,87072229783,,,,,,,https://instagram.com/boutique___a,,,,https://wa.me/77072229783,,,,,,43.225487,76.859943,https://2gis.com/firm/70000001020716769
Megabrands,бутик женской обуви и сумок,Обувные магазины; Сумки / Кожгалантерея; Часы / Аксессуары,"улица Розыбакиева, 247 блок 6",2 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 12:00-20:00; Вт: 12:00-20:00; Ср: 12:00-20:00; Чт: 12:00-20:00; Пт: 12:00-20:00; Сб: 12:00-16:00,+05:00,3.7,3,87013339134,87023244636,,,,,,https://instagram.com/megabrands_kz,,,,https://wa.me/77023244636,,,,,,43.20431,76.892593,https://2gis.com/firm/70000001034257592
Mega Mix,магазин одежды,Обувные магазины; Женская одежда; Мужская одежда,"улица Кабдолова, 1",5 бутик; A линия; 11 блок,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.7,15,,,,,,,,https://instagram.com/mega_mix_kz,,,,,,,,,,43.238367,76.856292,https://2gis.com/firm/70000001067309843
Mirabella,бутик женской обуви,Обувные магазины,"10-й микрорайон, 3Б",13 бутик; 2 этаж,050035,10 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,1.0,1,87078296228,87079393361,,,,,,https://instagram.com/mirabellakz,,,,https://wa.me/77079393361,https://wa.me/77078296228,,,https://t.me/mirabellakz,,43.22077,76.86898,https://2gis.com/firm/70000001028207213
Dragon Step,мультибрендовый магазин мужской и женской одежды и обуви,Обувные магазины; Спортивная одежда / обувь; Женская одежда; Мужская одежда,"улица Розыбакиева, 70",,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,4.4,36,87085904671,,,,,http://70000001069043801.2gis.biz/,,https://instagram.com/dragonstep_style_shop_almaty,,,,https://wa.me/77085904671,,,,https://t.me/+77085904671,,43.246295,76.889195,https://2gis.com/firm/70000001069043802
DressMe,магазин женской одежды и обуви,Обувные магазины; Женская одежда; Верхняя одежда; Сумки / Кожгалантерея,"улица Кабдолова, 1",9 бутик; А линия; 10 блок,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.3,58,87778898886,87273390608,,,,,,https://instagram.com/dressme_almaty,,,,https://wa.me/77778898886,,,,,,43.238104,76.855325,https://2gis.com/firm/70000001023157088
Danel`,магазин женской одежды,Обувные магазины; Женская одежда,"8-й микрорайон, 37/1",1 этаж,050006,8 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,3.0,10,87027177175,,,,,,,https://instagram.com/danel_brand,,,,https://wa.me/77027177175,,,,,,43.227137,76.863534,https://2gis.com/firm/70000001056720758
Enzo premium,магазин мужской обуви,Обувные магазины,"проспект Гагарина, 310 блок 5",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,1,87018949999,,,,,,,https://instagram.com/enzo_premium_,,,,https://wa.me/77018949999,,,,,,43.201218,76.901738,https://2gis.com/firm/70000001082811085
Podium,магазин одежды,Обувные магазины; Женская одежда; Сумки / Кожгалантерея,"8-й микрорайон, 37/1",2 этаж,050006,8 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,3.5,25,87025379353,,,,,,,https://instagram.com/podium_kass.kz,,,,https://wa.me/77025379353,,,,,,43.227685,76.864542,https://2gis.com/firm/70000001048216055
Iconique,онлайн-шоурум,Обувные магазины; Женская одежда; Сумки / Кожгалантерея; Верхняя одежда,,,,,,Алматы,,Алматы,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00 (по предварительной записи),+05:00,,,87024246815,,,,,,,https://instagram.com/iconique.ala2,,,,https://wa.me/77024246815,,,,,,,,https://2gis.com/firm/70000001067265603
Cotton,"магазин одежды, обуви и аксессуаров",Обувные магазины; Мужская одежда; Женская одежда; Детская одежда; Бижутерия,"улица Сулейменова, 25а",,050042,Таугуль-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,3.0,80,87081115540,,,,,,,https://instagram.com/cottonshop_kz,,,,https://wa.me/77081115540,https://wa.me/77008008010,,,,,43.210728,76.877819,https://2gis.com/firm/70000001044833274
Mullen,"премиальный магазин мужской, женской обуви и кожаных аксессуаров ",Обувные магазины; Сумки / Кожгалантерея; Обувная косметика / Аксессуары,"проспект Сейфуллина, 617",3 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.6,10,87479001604,,,,,http://mullen.kz,,https://instagram.com/mullen.kz,,,,https://wa.me/77479001604,,,,,,43.234132,76.935745,https://2gis.com/firm/70000001069459964
Seendicat,магазин мужской одежды,Обувные магазины; Мужская одежда,"8-й микрорайон, 37/1",2 этаж,050006,8 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,3.8,33,,,,seendicat2022@gmail.com,,,,https://instagram.com/seendicat_qr,,,,https://wa.me/77789756693,https://wa.me/77711246897,,,,,43.22781,76.864371,https://2gis.com/firm/70000001064327239
Прага,обувной магазин,Обувные магазины,"проспект Гагарина, 206е",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-18:00,+05:00,5.0,1,87073145500,,,,,,,,,,,https://wa.me/77073145500,,,,,,43.21972,76.897312,https://2gis.com/firm/70000001066013090
Gost,бутик мужской одежды,Обувные магазины; Мужская одежда; Сумки / Кожгалантерея,"улица Байтурсынова, 90/92",1 этаж,050022,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 11:00-21:00; Вт: 11:30-22:00; Ср: 11:30-22:00; Чт: 11:30-22:00; Пт: 11:30-22:00; Сб: 11:30-22:00; Вс: 11:30-22:00,+05:00,4.6,19,87078181188,,,,,,,https://instagram.com/gost_ala,,,,https://wa.me/77078181188,,,,,,43.239819,76.928105,https://2gis.com/firm/70000001077120457
Bruto,"магазин мужской одежды, обуви и аксессуаров",Обувные магазины; Мужская одежда; Джинсовая одежда; Сумки / Кожгалантерея; Верхняя одежда,"улица Толе би, 181",1 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,98,87078333520,,,,,http://taplink.cc/bruto.kz,,https://instagram.com/brutokz,,,,https://wa.me/77078333520,,,,https://t.me/brutomag,,43.252092,76.901645,https://2gis.com/firm/70000001056928428
Moskva Department Store,магазин одежды,Обувные магазины; Женская одежда; Мужская одежда; Сумки / Кожгалантерея; Головные / шейные уборы,"улица Гоголя, 50",,,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.2,24,87777707514,87777009865,87777707513,,,http://rkh.kz/ru/,,https://instagram.com/moskva_departmentstore,,,,https://wa.me/77777707514,https://wa.me/77777707513,https://wa.me/77777007515,,,,43.259809,76.946283,https://2gis.com/firm/9429940001031501
Мегахенд,магазин одежды и обуви,Обувные магазины; Секонд-хенд; Женская одежда; Детская одежда; Мужская одежда,"проспект Жибек Жолы, 55",3 этаж,050002,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:30-18:20; Вт: 09:30-18:20; Ср: 09:30-18:20; Чт: 09:30-18:20; Пт: 09:30-18:20; Сб: 09:30-18:20; Вс: 09:30-18:20,+05:00,3.5,33,87086683240,,,,,,,https://instagram.com/megahand_alma,,,,https://wa.me/77086683240,,,,,,43.26287,76.953753,https://2gis.com/firm/70000001038501353
Coraggio,бутик мужской одежды и обуви,Обувные магазины; Мужская одежда; Сумки / Кожгалантерея,"улица Наурызбай батыра, 152 к А",1 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 11:00-20:00,+05:00,4.0,4,87472126633,,,,,http://coraggioalmaty.taplink.ws,,https://instagram.com/coraggio_almaty,,,,https://wa.me/77472126633,,,,,,43.240994,76.938193,https://2gis.com/firm/70000001029291075
Jimmy Choo,магазин,Обувные магазины; Сумки / Кожгалантерея,"проспект Аль-Фараби, 77/8",2 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.4,8,87273316566,,,,,,,,,,,,,,,,,43.218658,76.928204,https://2gis.com/firm/70000001024875304
Burberry,магазин одежды и аксессуаров,Обувные магазины; Мужская одежда; Женская одежда; Сумки / Кожгалантерея; Головные / шейные уборы,"проспект Аль-Фараби, 77/8",1 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.9,6,87272259000,87022072007,87022070207,,,http://www.burberry.com,,,,,,https://wa.me/77022072007,https://wa.me/77022070207,,,,,43.218845,76.927514,https://2gis.com/firm/9429940000979855
Shopogolik,бутик женской одежды,Обувные магазины; Женская одежда; Сумки / Кожгалантерея,"бульвар Мендикулова, 98",11 бутик; 1 этаж,050051,Самал-2 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.4,97,87752340030 (единая справочная ),,,,,,,https://instagram.com/shopogolikalmaty,,,,https://wa.me/77752340030,,,,,,43.232887,76.953471,https://2gis.com/firm/9429940001145529
Euro Outlet Shoes,бутик,Обувные магазины,"Самал-3 микрорайон, 1",315 бутик; 3 этаж,050059,Самал-3 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,2.4,28,87018871297,,,,,,,https://instagram.com/eurooutlet_shoes,,,,https://wa.me/77018871297,https://wa.me/77782432285,,,https://t.me/eurooutlet_shoes_almaty,,43.227965,76.958827,https://2gis.com/firm/70000001030738229
Grunge Space,мультибрендовый бутик,Обувные магазины; Женская одежда; Мужская одежда; Часы / Аксессуары; Сумки / Кожгалантерея,"Каппарова, 404",1-3 этаж,050044,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,2.6,17,87016833333,87771220176,,,,http://svg.moda,,https://instagram.com/grunge.spc,,,,https://wa.me/77016833333,https://wa.me/77771220176,,,,,43.216345,76.928114,https://2gis.com/firm/70000001065282953
Dirk Bikkembergs,бутик мужской одежды и обуви,Обувные магазины; Мужская одежда,"проспект Сейфуллина, 617",3 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.6,7,87770001030,,,,,http://bikkembergs.kz,,https://instagram.com/bikkembergs.kz,,,,https://wa.me/77770001030,,,,,,43.233423,76.935274,https://2gis.com/firm/70000001040604984
Locker,магазин мужской и женской брендовой одежды,Обувные магазины; Женская одежда; Мужская одежда; Сумки / Кожгалантерея,"проспект Сейфуллина, 498/1",26/4 бутик; цокольный этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 11:30-20:00; Вт: 11:30-20:00; Ср: 11:30-20:00; Чт: 11:30-20:00; Пт: 11:30-20:00; Сб: 11:30-20:00; Вс: 11:30-20:00,+05:00,5.0,2,87752667381,,,,,http://tiktok.com/@locker.qaz,,https://instagram.com/locker.qaz,,,,https://wa.me/77752667381,,,,,,43.251868,76.933267,https://2gis.com/firm/70000001060703597
Pull & Bear,магазин одежды и аксессуаров,Обувные магазины; Мужская одежда; Женская одежда; Головные / шейные уборы; Бижутерия,"проспект Сейфуллина, 483",1 этаж,,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.2,56,87273528501,,,,,,,https://instagram.com/pullandbear,https://twitter.com/pullandbear,https://facebook.com/pullandbear,,,,,,,,43.263525,76.929464,https://2gis.com/firm/9429940001692761
Street style,"магазин одежды, обуви и аксессуаров",Обувные магазины; Мужская одежда; Женская одежда; Чулочно-носочные изделия; Головные / шейные уборы,"улица Жолдасбекова, 9а",218 бутик; 2 этаж,050051,Самал-1 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 11:00-18:30; Вт: 11:00-18:30; Ср: 11:00-18:30; Чт: 11:00-18:30; Пт: 11:00-18:30; Сб: 11:00-18:30; Вс: 11:00-18:30,+05:00,3.3,7,87023331693,,,,,,,https://instagram.com/streetstyle_almaty,,,https://vk.com/streetstyle.almaty,https://wa.me/77023331693,,,,,,43.234604,76.955702,https://2gis.com/firm/70000001032266823
Outlet,магазин мужской одежды и обуви,Обувные магазины; Мужская одежда,"проспект Абылай хана, 64",1 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,2.6,12,87272736136,87003252909,,,,,,,,,,https://wa.me/77003252909,,,,,,43.261058,76.940894,https://2gis.com/firm/70000001018802008
Seven life store,концептуальный магазин,Обувные магазины; Женская одежда; Сумки / Кожгалантерея,"проспект Аль-Фараби, 77/8",3 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.1,15,87715750568,,,,,,,https://instagram.com/sls_esentai,,,,,,,,,,43.218267,76.927986,https://2gis.com/firm/70000001057387443
kirsabin,бутик обуви,Обувные магазины,"улица Наурызбай батыра, 50","5, 6 бутик; Цокольный этаж",050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,3.6,18,87073513004,87471793718,,,,,,https://instagram.com/kirsabin.shop,,,,https://wa.me/77471793718,https://wa.me/77073513004,,,,,43.261205,76.936417,https://2gis.com/firm/70000001063217434
Euroshoes,бутик женской обуви и сумок,Обувные магазины; Сумки / Кожгалантерея,"проспект Назарбаева, 223",B36 бутик; 2 этаж,050059,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,3.0,2,87071469691,87476103343,,,,,,https://instagram.com/euroshoeskz_outlet,,,,https://wa.me/77014401521,,,,,,43.232783,76.948348,https://2gis.com/firm/70000001048471511
Saq.kz,магазин,Обувные магазины; Мужская одежда; Сумки / Кожгалантерея,"улица Наурызбай батыра, 50","21, 22 бутик; 1 этаж",050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,3,87474737057,87474452852,,,,,,https://instagram.com/saq.officialkz,,,,https://wa.me/77474452852,https://wa.me/77474737057,,,,,43.261205,76.936417,https://2gis.com/firm/70000001078863847
Inditex,компания,Обувные магазины; Женская одежда; Мужская одежда; Детская одежда,"проспект Достык, 192/2",7 этаж,050051,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,1.1,6,87273450690,,,,,,,,,,,,,,,,,43.231593,76.960276,https://2gis.com/firm/70000001067087474
Geox,магазин обуви и аксессуаров,Обувные магазины; Верхняя одежда,"проспект Сейфуллина, 617",1 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.2,7,87273551159,,,,,,,,,,,,,,,,,43.234238,76.935767,https://2gis.com/firm/70000001035160682
Lora Store,магазин женской обуви,Обувные магазины,"улица Панфилова, 80",вход в арку,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:30-20:00; Вт: 10:30-20:00; Ср: 10:30-20:00; Чт: 10:30-20:00; Пт: 10:30-20:00; Сб: 10:30-20:00; Вс: 10:30-20:00,+05:00,4.9,22,87088444650,,,,,,,https://instagram.com/lorastore.kz,,,,https://wa.me/77088444650,,,,,,43.260223,76.944615,https://2gis.com/firm/70000001077760696
Zegna,магазин мужской одежды и аксессуаров класса люкс,Обувные магазины; Мужская одежда; Сумки / Кожгалантерея; Солнцезащитные очки,"улица Гоголя, 50",1 этаж,,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,5,87777707512,,,,,http://rkh.kz/ru/,,https://instagram.com/moskva_departmentstore,,,,https://wa.me/77777707512,,,,,,43.259839,76.946748,https://2gis.com/firm/9429940000786935
Diami,бутик женской одежды,Обувные магазины; Женская одежда,"улица Кунаева, 21",В2-03 бутик; 2 этаж,050016,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.0,10,87026858321,,,,,,,https://instagram.com/diami_obuv,,,,https://wa.me/77026858321,,,,,,43.267418,76.948239,https://2gis.com/firm/70000001048868855
Sumki Erke,бутик кожгалантереи,Обувные магазины; Сумки / Кожгалантерея,"улица Желтоксан, 166",1 этаж,,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.1,8,87478060979,,,,,,,https://instagram.com/sumki_erke_kz,,,,https://wa.me/77478060979,,,,,,43.243407,76.941466,https://2gis.com/firm/70000001034754374
Jack & Jones,магазин мужской одежды,Обувные магазины; Мужская одежда; Верхняя одежда; Сумки / Кожгалантерея,"проспект Сейфуллина, 617",1 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,3.8,9,,,,,,http://union-space.com,,https://instagram.com/jackjoneskz,,https://facebook.com/JackJonesKazakhstan,,,,,,,,43.2343,76.934907,https://2gis.com/firm/70000001061943099
Nursace,магазин женской обуви,Обувные магазины; Сумки / Кожгалантерея,"улица Жолдасбекова, 9а",128 бутик; 1 этаж,050051,Самал-1 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,3.0,2,87763362161,,,,,,,https://instagram.com/nursace_almaty,,,,https://wa.me/77763362161,,,,,,43.234604,76.955702,https://2gis.com/firm/70000001067957466
Sneakersstreet,магазин кроссовок,Обувные магазины,"улица Кунаева, 32",504 офис; 5 этаж,050002,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 12:00-19:00; Вт: 12:00-19:00; Ср: 12:00-19:00; Чт: 12:00-19:00; Пт: 12:00-19:00; Сб: 12:00-19:00; Вс: 12:00-19:00,+05:00,3.7,8,87778999099,,,,,,,https://instagram.com/sneakersstreet.kaz,,,,https://wa.me/77778999099,,,,https://t.me/sneakersstreetbot,,43.266346,76.948934,https://2gis.com/firm/70000001062175078
Domino,магазин мужской одежды,Обувные магазины; Мужская одежда; Сумки / Кожгалантерея,"улица Шевченко, 18",1 этаж,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,3.0,2,87010653777,87780753777,87788713777,,,,,,,,,https://wa.me/77010653777,https://wa.me/77780753777,https://wa.me/77788713777,,,,43.246867,76.954977,https://2gis.com/firm/70000001080557961
Anna Anna shoes,магазин обуви и аксессуаров ,Обувные магазины; Сумки / Кожгалантерея; Головные / шейные уборы; Обувная косметика / Аксессуары; Нижнее бельё,"проспект Гагарина, 233 блок Е",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.7,78,87064023746,,,,,,,https://instagram.com/annaanna.shoes,,,,https://wa.me/77064023746,,,,,,43.211937,76.896858,https://2gis.com/firm/70000001081264409
Bacco,магазин мужской обуви,Обувные магазины; Сумки / Кожгалантерея,"улица Желтоксан, 171",,050021,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,12,87084036714,87755310500,,,,,,https://instagram.com/bacco.almaty,,,,https://wa.me/77084036714,https://wa.me/77755310500,,,,,43.241415,76.940847,https://2gis.com/firm/70000001074850192
Porsche design,бутик мужской одежды и обуви,Обувные магазины; Мужская одежда; Солнцезащитные очки; Часы / Аксессуары,"проспект Сейфуллина, 617",3 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,3,87019110911,,,,,,,https://instagram.com/porschedesign_kz,,,,https://wa.me/77019110911,,,,,,43.233508,76.935276,https://2gis.com/firm/70000001059950537
